,010003-01V1,010007-01V1,010008-03V1,010009O2V1,010009O3V1,010019-01V1,010020-01V1,010028O2V1,010041O1V1,010042O1V1
V052479,0,0.0277361735175015,0,0,0,0,0,0,0,0
V062997,0.314010659835558,3.17856548510568,0.0252771873384271,0.171960174023696,0.473156117742166,0.408370002215961,1.50341518797268,0,0.884136688019096,1.30192307692308
V066123,0,0,0,0.187436589685829,0.173569832136573,2.33783912121308,0,0,0,0.0211538461538462
V052480,0,0.162718884636009,0.0620440052852301,0,0,0,0,0,0,0
V060156,0,0,0,0,0,0.150368799265567,0,0,0,0.0115384615384615
V065008,0,0,0,0.201193403607724,0.24965523800466,1.08107252524613,0,0,0,0.0269230769230769
V052112,0,0,0,0,0,0,0,0,0,0
V062287,0.14254431268851,1.00959671603706,0.00861722295628196,0.0619056626485306,0.171192163203196,0.239007249358954,0.391876796864986,0.0294142364904614,0.34586063277882,0.198076923076923
V052107,0,0,0,0,0,0,0,0,0,0
V060986,0.214849398834855,2.70335237883915,0.033894410294709,0.261379464516018,0.320985306005992,0.337142676248061,0.752623193979014,0.0294142364904614,0.538276055240276,0.230769230769231
